Course Name,Description
AER210H1,Vector Calculus & Fluid Mechanics The first part covers multiple integrals and vector calculus Topics covered include: double and triple integrals surface area multiple integrals in polar cylindrical and spherical coordinates general coordinate transformations Jacobians Taylor series in two variables line and surface integrals parametric surfaces Greens theorem the divergence and Stokess theorems The second part provides a general introduction to the principles of continuum fluid mechanics The basic conservation laws are derived in both differential and integral forms using different fluid models and the link between the two is demonstrated Applications covered include: dimensional analysis hydrostatics flow visualization incompressible and compressible frictionless flows the speed of sound the momentum principle viscous flows and selected examples of real fluid flows The students conduct two hands-on laboratory experiments involving microfluidics and flow visualization which complement the fluid mechanics lectures and experience technical report writing
AER301H1,Dynamics Reference frames in relative translation and rotation vector and matrix formulations Dynamics of a single particle and of systems of particles Lagranges equations DAlemberts and Hamiltons principle Orbital dynamics Rigid body kinematics and dynamics Lagrangian approach to vibrations of complex systems Model analysis Primary Reference: class notes Reference Books: Greenwood Principles of Dynamics; Goldstein Classical Mechanics
AER302H1,Aircraft Flight Basics of aircraft performance with an introduction to static stability and control Topics covered include: Equations of Motion; Characteristics of the Atmosphere; Airspeed Measurement; Drag induced drag total airplane drag; Thurst and Power piston engine characteristics gas turbine performance; Climb range payload; Tunrs; Pull-up; Takeoff; Landing airborne distance ground roll; Flight envelope maneuvering envelope gust load factors; Longitudinal and lateral static stability and control; Introduction to dynamic stability
AER303H1,Aerospace Laboratory I Students will perform a number of experiments in the subject areas associated with the Aerospace Option curriculum and prepare formal laboratory reports
AER304H1,Aerospace Laboratory II Students will perform a number of experiments in the subject areas associated with the Aerospace Option curriculum and prepare formal laboratory reports
AER306H1,Introduction to Space Flight An introduction to the space environment and its impact on space vehicles orbits and mission analysis space system payloads spacecraft power systems attitude control sensors and actuators thermal analysis and design propulsion space communications systems including antennas and link budgets command and data handling structures mechanisms and mass properties
AER307H1,Aerodynamics Review of fundamentals of fluid dynamics potential-flow Euler and Navier-Stokes equations; incompressible flow over airfoils incompressible flow over finite wings; compressibility effects; subsonic compressible flow over airfoils; supersonic flow; viscous flow; laminar layers and turbulent boundary layers and unsteady aerodynamics Textbook: Anderson JD Fundamentals of Aerodynamics 3rd Edition McGraw Hill 2001
AER310H1,Gasdynamics Fundamental thermodynamics for calorically perfect gases and derivation of Navier-Stokes and Euler equations by control volume approach Also includes the theory of steady quasi-one-dimensional 1D flows in flow tubes pipes and ducts with area variation friction and drag body forces heat addition and external work reviewing isentropic flow and Fanno and Rayleigh lines solutions Also covers the Rankine-Hugoniot equations and solutions for both steady normal shock waves and moving shocks and introduces theory of unsteady 1D constant-area flows and solutions for unsteady isentropic expansion and compression waves via characteristic analysis Concludes with theory of steady two-dimensional 2D supersonic flow including Prandtl-Meyer theory and solutions for oblique shock expansion and compression waves The lectures are supplemented by problem sets
AER336H1,Scientific Computing Introduces numerical methods for scientific computation which are relevant to the solution of a wide range of engineering problems Topics addressed include interpolation integration linear systems least-squares fitting nonlinear equations and optimization initial value problems and partial differential equations The assignments require programming of numerical algorithms
AER372H1,"Control Systems An introduction to dynamic systems and control Models of physical systems Stability and feedback control theory Analysis and synthesis of linear feedback systems by ""classical"" and state space techniques Introduction to nonlinear and optimal control systems Digital computer control Multivariable feedback system design"
AER373H1,Mechanics of Solids and Structures An Introduction to Solid and Structural Mechanics Continuum Mechanics: Stress strain and constitutive relations for continuous systems Equilibrium equations Force and Flexibility methods Introduction to Cartesian Tensors Variational Principles: Virtual Work Complementary Virtual Work Strain Energy and Work Principle of Stationary Value of the Total Potential Energy Complementary Potential Energy Reissners Principle Calculus of Variations Hamiltons Principle Beam and Plate theory Dynamics of discrete and continuous systems
AER406H1,Aircraft Design Teams of 3 or 4 students design build and fly a remotely piloted aircraft The aircraft is designed and built to maximize a flight score which is a complex function of many factors - payload fraction payload type flight time takeoff distance etc Teams are provided with identical motors batteries radio equipment and flight instrumentation Weekly sessions consist of a combination of lectures and one-on-one meetings with the tutors and professor to discuss each teams progress Evaluations are based on the weekly reports preliminary and final design presentations and reports an as-built report and measured flight performance
AER407H1,Space Systems Design Introduction to the conceptual and preliminary design phases for a space system currently of interest in the Aerospace industry A team of visiting engineers provide material on typical space systems design methodology and share their experiences working on current space initiatives through workshops and mock design reviews Aspects of operations systems electrical mechanical software and controls are covered The class is divided into project teams to design a space system in response to a Request for Proposals RFP formulated by the industrial team Emphasis is placed on standard top-down design practices and the tradeoffs which occur during the design process Past projects include satellites such as Radarsat interplanetary probes such as a solar sailer to Mars a Mars surface rover and dextrous space robotic systems
AER501H1,Computational Structural Mechanics and Design Optimization Introduction to the Finite Element Method and Structural Optimization Review of linear elasticity: stress strain and material constitutive laws Variational Principles The Finite Element technique: problem formulation - methods of Ritz and Galerkin element properties - C0 and C1 formulations static and dynamic problems: applications to bar beam membrane and plate problems Structural Optimization: Overview of problems Optimal Design problem formulation solution strategies - gradient search techniques Sensitivity analysis for static and dynamic problems Optimization problems using commercial finite element codes Text: Shames & Dym Energy and Finite Element Methods in Structural Mechanics
AER503H1,Aeroelasticity Static aeroelastic phenomena are studied including divergence of 2D sections and slender 3D wings as well as control reversal of 3D wings Various methods of solution are considered such as closed form discrete element and the Rayleigh-Ritz approach A study of vibration and flutter of wings and control surfaces is presented with particular emphasis on those parameters that affect flutter speed Classical k and p-k methods for flutter estimation are presented
AER506H1,"Spacecraft Dynamics and Control Planar ""central force"" motion; elliptical orbits; energy and the major diameter; speed in terms of position; angular momentum and the conic parameter; Keplers laws Applications to the solar system; applications to Earth satellites Launch sequence; attaining orbit; plane changes; reaching final orbit; simple theory of satellite lifetime Simple planar theory of atmospheric entry Geostationary satellite; adjustment of perigee and apogee; east-west stationkeeping Attitude motion equations for a torque-free rigid body; simple spins and their stability; effect of internal energy dissipation; axisymmetric spinning bodies Spin-stabilized satellites; long-term effects; sample flight data Dual-spin satellites; basic stability criteria; example-CTS ""active"" attitude control; reaction wheels; momentum wheels; controlmoment gyros; simple attitude control systems"
AER507H1,Introduction to Fusion Energy Nuclear reactions between light elements provide the energy source for the sun and stars On earth such reactions could form the basis of an essentially inexhaustible energy resource In order for the fusion reactions to proceed at a rate suitable for the generation of electricity the fuels usually hydrogen must be heated to temperatures near 100 million Kelvin At these temperatures the fuel will exist in the plasma state This course will cover: i the basic physics of fusion including reaction cross-sections particle energy distributions Lawson criterion and radiation balance ii plasma properties including plasma waves plasma transport heating and stability and iii fusion plasma confinement methods magnetic and inertial Topics will be related to current experimental research in the field
AER510H1,Aerospace Propulsion Scope and history of jet and rocket propulsion; fundamentals of air-breathing and rocket propulsion; fluid mechanics and thermodynamics of propulsion including boundary layer mechanics and combustion; principles of aircraft jet engines engine components and performance; principles of rocket propulsion rocket performance and chemical rockets; environmental impact of aircraft jet engines
